pair_name,accuracy,f1_score,precision,recall,balance_ratio,n_trials_total,n_trials_class0,n_trials_class1,time_seconds,error
Inner-Up_vs_Inner-Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Inner-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Inner-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Pron-Up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Pron-Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Pron-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Pron-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Vis-Up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Vis-Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Vis-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Up_vs_Vis-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Down_vs_Inner-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Down_vs_Inner-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Down_vs_Pron-Up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Down_vs_Pron-Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Inner-Down_vs_Pron-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
